edinet_code,name,period_end,doc_id,pdf_employees,xbrl_standard,xbrl_extension,extension_element,salary_yen,verdict,resolved_employees,resolved_source,basis_change_note,reorganization_note
E00021,三菱マテリアル株式会社,2021-03-31,S100LMJY,6153,6153,,,6573000,XBRL標準タグと一致,6153,有報PDF（標準タグと一致）,,
E00021,三菱マテリアル株式会社,2022-03-31,S100OES8,6208,6208,,,6658000,XBRL標準タグと一致,6208,有報PDF（標準タグと一致）,,３.2022年４月１日付で、当社のセメント事業及びその関連事業等について、ＵＢＥ三菱セメント㈱を承継会社とする吸収分割を行っております。
E00021,三菱マテリアル株式会社,2023-03-31,S100R12D,5450,5450,,,6971000,XBRL標準タグと一致,5450,有報PDF（標準タグと一致）,,４.その他の事業の従業員数が、前事業年度末と比較して804名減少しておりますが、主として2022年４月１日に当社のセメント事業及びその関連事業等について、ＵＢＥ三菱セメント㈱を承継会社とする吸収分割を行ったことによるものです。
E00021,三菱マテリアル株式会社,2024-03-31,S100TRRS,5408,5408,,,7097000,XBRL標準タグと一致,5408,有報PDF（標準タグと一致）,,３．2023年４月１日付の組織再編に伴い、従来報告セグメントとしていた「環境・エネルギー事業」を「金属事業」、「再生可能エネルギー事業」及び「その他の事業」に含めて記載する方法に変更しています。
E00021,三菱マテリアル株式会社,2025-03-31,S100W34Q,5315,5315,,,7141000,XBRL標準タグと一致,5315,有報PDF（標準タグと一致）,,
E00021,三菱マテリアル株式会社,2026-03-31,S100YFRY,5084,5084,,,7329000,XBRL標準タグと一致,5084,有報PDF（標準タグと一致）,,
E00023,住友金属鉱山株式会社,2021-03-31,S100LRHA,2433,2433,,,7952000,XBRL標準タグと一致,2433,有報PDF（標準タグと一致）,,
E00023,住友金属鉱山株式会社,2022-03-31,S100OG4X,2565,2565,,,7878000,XBRL標準タグと一致,2565,有報PDF（標準タグと一致）,,
E00023,住友金属鉱山株式会社,2023-03-31,S100R3B5,2728,2728,,,8349000,XBRL標準タグと一致,2728,有報PDF（標準タグと一致）,,
E00023,住友金属鉱山株式会社,2024-03-31,S100TUQA,2892,2892,,,8235000,XBRL標準タグと一致,2892,有報PDF（標準タグと一致）,,
E00023,住友金属鉱山株式会社,2025-03-31,S100W5I3,3067,3067,,,7901000,XBRL標準タグと一致,3067,有報PDF（標準タグと一致）,,
E00023,住友金属鉱山株式会社,2026-03-31,S100YJ6N,3179,3179,,,8054000,XBRL標準タグと一致,3179,有報PDF（標準タグと一致）,,
E00028,ＤＯＷＡホールディングス株式会社,2021-03-31,S100LNJD,84,84,,,7941000,XBRL標準タグと一致,84,有報PDF（標準タグと一致）,,
E00028,ＤＯＷＡホールディングス株式会社,2022-03-31,S100OEIA,79,79,,,8078000,XBRL標準タグと一致,79,有報PDF（標準タグと一致）,,
E00028,ＤＯＷＡホールディングス株式会社,2023-03-31,S100R5AK,84,84,,,8663000,XBRL標準タグと一致,84,有報PDF（標準タグと一致）,,
