name,peer_group,年度数,従業員_連結,従業員_提出会社,平均年間給与_円,平均年間給与_5年前,5年増減率,給与の基準変更,従業員数の組織再編,平均年齢,平均勤続年数,多様性指標のスコープ,女性管理職比率,男性育休取得率,育休算出方式,女性賃金/男性賃金_全労働者,連結子会社の掲載数,決算期
三菱商事株式会社,総合商社,5,63037,5328,21125472,15588893,35.5,,,42.3,17.58,提出会社,0.131,0.526,71条の6第2号方式（育児目的休暇を含む）,0.647,0,2026-03-31
三井物産株式会社,総合商社,5,55463,5333,20589000,15491000,32.9,,,42.0,17.4,提出会社,0.12,0.93,71条の6第2号方式（育児目的休暇を含む）,0.649,0,2026-03-31
伊藤忠商事株式会社,総合商社,5,114570,4125,19911534,15797516,26.0,,,42.0,17.75,提出会社,0.101,1.28,71条の6第2号方式（育児目的休暇を含む）,0.569,0,2026-03-31
住友商事株式会社,総合商社,5,82488,4938,18402971,14063292,30.9,,,43.3,18.25,提出会社,0.112,0.796,71条の6第2号方式（育児目的休暇を含む）,0.631,0,2026-03-31
丸紅株式会社,総合商社,5,52658,4225,17843699,14692733,21.4,,,42.5,17.8,提出会社,0.104,0.919,71条の6第2号方式（育児目的休暇を含む）,0.615,0,2026-03-31
双日株式会社,総合商社,5,26789,2519,12571801,10382838,21.1,,,40.5,14.7,提出会社,0.074,1.089,原則方式,0.596,0,2026-03-31
豊田通商株式会社,総合商社,5,74927,2466,14213845,11141882,27.6,,,43.0,16.7,提出会社,0.095,0.919,原則方式,0.619,0,2026-03-31
ソニーグループ株式会社,電気機器,5,94900,2166,11550986,10845882,6.5,,"2023-03-31, 2024-03-31",42.7,16.0,提出会社,0.205,0.84,71条の6第2号方式（育児目的休暇を含む）,0.828,0,2026-03-31
株式会社日立製作所,電気機器,5,287901,25934,9949714,8969979,10.9,,,42.2,18.1,提出会社,0.089,0.945,原則方式,0.716,0,2026-03-31
三菱電機株式会社,電気機器,5,150386,29949,9134603,8067252,13.2,,,40.5,15.3,提出会社,0.042,0.899,71条の6第2号方式（育児目的休暇を含む）,0.642,0,2026-03-31
株式会社村田製作所,電気機器,5,74302,11174,8382000,7976000,5.1,,,40.5,14.4,提出会社,0.044,0.87,原則方式,0.651,0,2026-03-31
株式会社キーエンス,電気機器,5,12784,3306,21783259,21827204,-0.2,,,35.0,11.3,提出会社,,0.847,71条の6第2号方式（育児目的休暇を含む）,0.432,0,2026-03-20
トヨタ自動車株式会社,輸送用機器,5,390927,73133,10060464,8571245,17.4,,,40.5,15.1,提出会社,0.039,0.79,原則方式,0.67,0,2026-03-31
本田技研工業株式会社,輸送用機器,5,195109,32547,9326000,7787000,19.8,,,43.9,21.0,提出会社,0.036,1.168,71条の6第2号方式（育児目的休暇を含む）,0.728,0,2026-03-31
日産自動車株式会社,輸送用機器,5,120079,23174,8571467,8110304,5.7,,,40.9,14.9,提出会社,0.113,0.755,原則方式,0.847,0,2026-03-31
株式会社三菱ＵＦＪフィナンシャル・グループ,銀行業,5,161576,3637,11702000,10291000,13.7,,,40.3,13.5,連結子会社（提出会社の指標は有報に記載なし）,,,,,35,2026-03-31
株式会社三井住友フィナンシャルグループ,銀行業,5,122970,1678,11803000,10948000,7.8,,,39.33,14.58,連結子会社（提出会社の指標は有報に記載なし）,,,,,7,2026-03-31
株式会社みずほフィナンシャルグループ,銀行業,5,52427,2867,11665000,10442000,11.7,,,42.5,16.9,提出会社,,0.96,71条の6第2号方式（育児目的休暇を含む）,0.622,0,2026-03-31
東京海上ホールディングス株式会社,保険業,5,67526,1339,14871103,14127185,5.3,,,42.4,14.8,連結子会社（提出会社の指標は有報に記載なし）,,,,,32,2026-03-31
ＭＳ＆ＡＤインシュアランスグループホールディングス株式会社,保険業,5,46856,478,12376260,10976292,12.8,,,47.2,21.7,提出会社,0.128,1.0,原則方式,0.67,0,2026-03-31
ＳＯＭＰＯホールディングス株式会社,保険業,5,55702,489,12595575,11284115,11.6,,,43.3,12.5,提出会社,0.094,0.71,71条の6第2号方式（育児目的休暇を含む）,0.689,0,2026-03-31
ＮＴＴ株式会社,情報・通信業,5,344196,2606,10562434,9524414,10.9,,,41.4,15.6,提出会社,0.127,1.133,71条の6第2号方式（育児目的休暇を含む）,0.791,0,2026-03-31
ＫＤＤＩ株式会社,情報・通信業,5,73198,9891,10510939,9454416,11.2,,2023-03-31,42.3,16.4,提出会社,0.108,0.859,原則方式,0.833,0,2026-03-31
ソフトバンク株式会社,情報・通信業,5,58432,19150,8713000,8084000,7.8,,,42.0,14.8,提出会社,0.109,,,0.783,0,2026-03-31
三井不動産株式会社,不動産業,5,27704,1981,18555000,12738000,,2025-03-31,,42.1,16.0,提出会社,0.111,1.032,原則方式,0.499,0,2026-03-31
三菱地所株式会社,不動産業,5,11659,1729,17593300,12647559,,2026-03-31,,42.5,16.33,提出会社,0.135,1.291,原則方式,0.543,0,2026-03-31
住友不動産株式会社,不動産業,5,14116,2021,8242230,6674625,23.5,,2026-03-31,42.65,10.28,提出会社,0.137,1.0,71条の6第2号方式（育児目的休暇を含む）,0.51,0,2026-03-31
