edinet_code,name,peer_group,severity,detail
E00337,"六甲バター株式会社",食料品,warn,"年度でスコープが混在：['単体' '連結']"
E00381,"モロゾフ株式会社",食料品,warn,"年度でスコープが混在：['単体' '連結']"
E01465,"株式会社マルマエ",機械,warn,"年度でスコープが混在：['単体' '連結']"
E03283,"株式会社柿安本店",食料品,warn,"年度でスコープが混在：['単体' '連結']"
E03287,"株式会社西松屋チェーン",小売,warn,"年度でスコープが混在：['単体' '連結']"
E03293,"株式会社幸楽苑",小売,warn,"年度でスコープが混在：['単体' '連結']"
E03517,"株式会社ブロンコビリー",小売,warn,"年度でスコープが混在：['単体' '連結']"
E03760,"丸三証券株式会社",証券,warn,"年度でスコープが混在：['単体' '連結']"
E04806,"ジャフコ　グループ株式会社",証券,warn,"年度でスコープが混在：['単体' '連結']"
E04867,"株式会社ナガワ",サービス業,warn,"年度でスコープが混在：['単体' '連結']"
E05041,"ＧＭＯインターネットグループ株式会社",情報・通信業,warn,"自己資本比率0.045 と 純資産/総資産0.096 が乖離"
E05153,"株式会社メンバーズ",サービス業,warn,"年度でスコープが混在：['単体' '連結']"
E05717,"株式会社アルトナー",サービス業,warn,"年度でスコープが混在：['単体' '連結']"
E09753,"全国保証株式会社",その他金融,warn,"年度でスコープが混在：['単体' '連結']"
E26082,"ダブル・スコープ株式会社",電気機器,warn,"売上が5期で13倍動いている（単位取り違えの疑い）"
E26231,"株式会社セルシス",情報・通信業,warn,"年度でスコープが混在：['単体' '連結']"
E26327,"ライフネット生命保険株式会社",保険業,warn,"年度でスコープが混在：['単体' '連結']"
E26703,"株式会社エニグモ",情報・通信業,warn,"年度でスコープが混在：['単体' '連結']"
E27486,"ペプチドリーム株式会社",医薬品,warn,"年度でスコープが混在：['単体' '連結']"
E31009,"弁護士ドットコム株式会社",サービス業,warn,"年度でスコープが混在：['単体' '連結']"
E32400,"株式会社アトラエ",サービス業,warn,"年度でスコープが混在：['単体' '連結']"
E32549,"株式会社ベイカレント",サービス業,warn,"年度でスコープが混在：['単体' '連結']"
E33367,"株式会社ニーズウェル",情報・通信業,warn,"年度でスコープが混在：['単体' '連結']"
E33579,"株式会社グローバル・リンク・マネジメント",不動産業,warn,"年度でスコープが混在：['単体' '連結']"
E34290,"フロンティア・マネジメント株式会社",サービス業,warn,"自己資本比率0.092 と 純資産/総資産0.539 が乖離"
E36635,"株式会社プラスアルファ・コンサルティング",情報・通信業,warn,"年度でスコープが混在：['単体' '連結']"
E37133,"株式会社ボードルア",情報・通信業,warn,"年度でスコープが混在：['単体' '連結']"
E37165,"株式会社ライフドリンク　カンパニー",食料品,warn,"年度でスコープが混在：['単体' '連結']"
E37733,"株式会社クオンツ総研ホールディングス",サービス業,warn,"年度でスコープが混在：['単体' '連結']"
E37833,"日本ビジネスシステムズ株式会社",情報・通信業,warn,"年度でスコープが混在：['単体' '連結']"
