university,url,checked_at,robots,format,chars,verdict,hits
神戸大学,https://www.career.kobe-u.ac.jp/images/various_data/shushokusaki_main/2023_shushokusaki_main.pdf,2026-07-09,robots.txtなし（明示的な拒否なし）,PDF,4262,社名のみ（人数なし）,"みずほ銀行, アクセンチュア, キーエンス, ソニー, トヨタ自動車, 三井住友銀行, 三井物産, 三菱商事"
明治大学,https://www.meiji.ac.jp/shushoku/date.html,2026-07-09,robots.txtなし（明示的な拒否なし）,HTML,9725,企業名が出てこない（業種別集計のみ等）,
中央大学,https://www.chuo-u.ac.jp/career/center/employment_data/2023/,2026-07-09,許可（crawl-delay=未指定）,HTML,22571,企業名が出てこない（業種別集計のみ等）,
立教大学,https://www.rikkyo.ac.jp/about/disclosure/career/,2026-07-09,許可（crawl-delay=未指定）,HTML,7353,社名のみ（人数なし）,"アクセンチュア, キーエンス, ソニー, 三井住友銀行, 三菱ＵＦＪ銀行, 日立製作所, 東京海上日動, ＫＤＤＩ"
一橋大学商学部,https://www.cm.hit-u.ac.jp/career/achievement/,2026-07-09,robots.txtなし（明示的な拒否なし）,HTML,3813,企業別人数あり,"みずほ銀行, アクセンチュア, キーエンス, 三井不動産, 三井住友銀行, 三井物産, 三菱商事, 三菱ＵＦＪ銀行"
上智大学,https://www.sophia.ac.jp/assets/uploads/2025/05/2024_JobSearchReport.pdf,2026-07-09,許可（crawl-delay=未指定）,PDF,69793,企業別人数あり,"キーエンス, 三井住友銀行, 三菱UFJ銀行, 日立製作所"
立命館大学,https://www.ritsumei.ac.jp/career/assets/files/introduction/placementdata2024.pdf,2026-07-09,許可（crawl-delay=未指定）,PDF,181323,社名のみ（人数なし）,"アクセンチュア, キーエンス, ソニー, トヨタ自動車, 三井不動産, 三井住友銀行, 三井物産, 三菱商事"
大阪大学,https://www.osaka-u.ac.jp/ja/campus/career/data,2026-07-09,"robots取得エラー: HTTPSConnectionPool(host='www.osaka-u.ac.jp', port=443): Read timed out. (read timeout=25)",,,取得しない（robots）,
東北大学,https://www.tohoku.ac.jp/japanese/profile/about/06/about0605/,2026-07-09,許可（crawl-delay=未指定）,HTML,8754,企業名が出てこない（業種別集計のみ等）,
慶應義塾大学,https://drive.google.com/uc?export=download&id=1pa8GYb407CTMCIIpaLRN2dKJoLMuf-4G,2026-07-09,"robots取得エラー: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,取得しない（robots）,
大阪大学,https://www.osaka-u.ac.jp/ja/campus/career/data,2026-07-09,"robots取得エラー: HTTPSConnectionPool(host='www.osaka-u.ac.jp', port=443): Read timed out. (read timeout=25)",,,取得しない（robots）,
